,CVE_ART,COSTO_TOTAL_CALCULADO,MARGEN_TOTAL_CALCULADO
501,P231F1H6AB00,1342.97,1447.73
502,TUA00079,747.21,2364.1
503,TUE00319,12855.68,61844.32
504,TUE00248,963.82,3716.18
505,TP0003,723.67,1776.33
506,BO00059,796.86,4299.7
507,CAE00039,1685.48,1373.9
508,TUA00412,286.18,1323.82
509,TUA00440,148.02,663.98
510,TUS00120,38.92,548.08
511,TP0002,102.71,204.19
512,TUA00124,1035.28,2109.62
513,RM00038,921.37,6481.35
514,TUA00376,5870.53,8395.81
515,TP0025,382.32,652.68
516,TUS00048,36.0,586.0
517,TUE00258,67.21,1141.04
518,TP00011,1529.93,6270.07
519,TUE00261,3472.99,28027.01
520,TUA00437,485.55,1484.45
521,TUE00336,722.34,3115.06
522,PT00083,2592.94,2300.06
523,PA00001,7248.18,6551.82
524,TP0011,144.4,276.29
525,BP00261,841.63,914.37
526,TUA00438,567.27,1130.44
527,TP0011,144.4,340.6
528,TP0012,101.08,694.92
529,CAE00040,3998.41,8265.59
530,TUE00034,1009.05,3984.95
531,ECQ-00971,2619.0,4213.0
532,ECQ-01444,3409.48,8803.52
533,ECQ-00972,11742.95,39892.55
534,ECQ-01444,7911.01,22621.49
535,TUE00344,928.07,2466.93
536,CS38C1008A00,618.84,4267.36
537,BB00095,85.97,646.03
538,PT31B1D5A400,22.03,531.79
539,TP0025,460.41,781.59
540,TP0016,222.0,510.0
541,RM00022,33.79,393.21
542,TK00062,225.28,803.22
543,TP0011,722.0,1703.0
544,TP0012,50.54,259.46
545,BP00260,72.34,820.66
546,E1041960,3586.12,562.22
547,TUA00021,4673.63,6908.25
548,TUA00009,4193.61,4550.39
549,TP0001,42.79,77.33
550,TUA00258,1915.76,11149.24
551,BN00254,291.71,954.69
552,TP0025,986.31,2322.19
553,TUA00441,406.12,1638.08
554,BP00215,97.53,550.77
555,RP00191,10.7,408.3
556,TP0025,98.63,126.37
557,RC00013,136.98,597.52
558,EE00021,4455.7,23144.3
559,TUA00442,610.62,1705.76
560,TP0025,1363.68,1741.32
561,RP00195,42.35,592.15
562,RM00022,135.17,1572.83
563,RP00194,3.8,297.27
564,TUA00443,344.32,961.71
565,TEA00006,2637.36,4462.64
566,RC00012,1344.78,7355.22
567,TU5/16X230MM,200.3,799.65
568,EE00055,565.29,1484.71
569,TEA00096,773.91,1426.09
570,PT00083,2389.27,2503.73
571,TEA00100,681.25,2978.75
572,TP0002,62.82,90.43
573,CS12D2040A01,101.4,562.48
574,TUA00439,483.67,1541.53
575,TEA00099,1305.87,2914.83
576,TP0011,722.0,1718.0
577,TP0002,125.64,181.26
578,TJ00063,461.74,9478.26
579,PK31A1I1A000,1434.11,1322.14
580,BC00027,1595.08,3904.92
581,BB00101,73.04,876.96
582,TUE00081,701.72,1576.73
583,CAE00011,352.13,1147.87
584,RP00197,1368.31,4904.69
585,TUS00121,33.75,499.01
586,BP00263,80.09,525.31
587,TU5/16X870J127V,454.37,924.89
588,RP00196,5301.49,8475.39
589,CS58M2050A11,344.27,1523.43
590,PJ000GE1A400,116.73,553.27
591,TP00021,330.09,1613.91
592,TP00022,453.27,1679.98
593,BB1 1/2X1/2-300W,253.0,171.0
594,93980461,1261.99,806.51
595,93980461,1261.99,806.51
596,54020219,2135.98,2792.42
597,54020219,2261.08,2667.32
598,TUA00131,6183.72,7556.28
599,RP00193,518.74,1806.6
600,TUE00353,60.64,503.46
601,TUE00207,2742.7,3717.3
602,TUE00354,295.91,1155.74
603,PJ000GH1A000,412.22,731.78
604,PJ000GJ1A000,726.18,897.82
605,PT00084,1199.64,1896.36
606,PT00010,671.87,4304.13
607,TUA00127,1183.69,3746.31
608,TUA00321,2239.06,6824.94
609,MR01934,331.9,1545.16
610,TP0001,128.38,324.2
611,RP00002,4434.97,-3960.83
612,ECQ-01444,3224.57,8988.43
613,TUA00311,324.05,1202.72
614,TUE00068,1141.51,5386.49
615,CAS00080,14643.92,63116.08
616,TUS00090,170.19,518.81
617,TEA00058,3634.36,7925.64
618,BB1 1/2X1/2-300W,253.0,132.0
619,70001694,1516.01,4588.99
620,70001692,909.55,3434.45
621,70001684,692.44,7497.56
622,RP00198,168.7,971.18
623,CAS00034,1174.89,6725.11
624,TP0003,155.15,264.85
625,TP0022,9392.95,14752.85
626,TEA00101,149.98,467.22
627,TP0016,444.0,1020.0
628,TUS00122,61.3,1104.56
629,TUS00122,91.95,1656.84
630,TP0005,97.49,167.59
631,CS58G1030A00,229.29,955.71
632,TU5/16X203V,965.61,960.39
633,BP00264,208.8,1780.0
634,CAS00043,130.94,1134.06
635,47980249,1725.78,4154.22
636,47980626,1885.91,2636.09
637,MR8-250-11-13,320.04,1359.96
638,TUA00449,2840.53,4529.47
639,TUA00450,1472.41,2356.59
640,TUA00049,2446.31,9946.69
641,CBE00012,1707.07,6668.93
642,CBE00040,1068.83,3756.17
643,TK00065,124.56,907.44
644,TP0040,171.87,281.37
645,47980075,9760.13,28303.52
646,47980249,4735.23,10944.77
647,CAS00079,374.39,5085.61
648,TUE00101,407.85,733.01
649,AK00012,467.13,2532.87
650,TUA00445,1696.61,2513.99
651,CBE00039,208.61,567.0
652,TJ00091,119.54,681.74
653,TU5/16X230MM,400.6,1599.22
654,TUE00146,9577.26,42622.74
655,TUA00325,3900.52,8599.48
656,BN00256,159.57,1128.43
657,BN00257,167.44,974.16
658,BP00263,80.09,525.31
659,BB1 1/2X1/2-300W,253.0,172.0
660,RP00201,55.83,507.67
661,BB1 1/2X1/2-300W,253.0,171.0
662,TUA00436,3994.81,5905.19
663,TU5/16X230MM,200.3,799.61
664,RP00202,7.6,732.06
665,CS58P2120A01,2062.24,7302.26
666,BOBINA001,11343.64,27635.96
667,TUA00444,602.39,3065.61
668,CS14D2017B20,136.67,1488.39
669,TP0011,542.76,1397.24
670,TP0012,219.2,1280.8
671,TP0006,1728.0,-522.0
672,RP00203,199335.56,-166753.38
673,TUE00362,95.4,1032.8
674,TEE00027,1435.32,3000.68
675,TU5/16X230MM,200.3,799.61
676,TP0001,42.79,51.71
677,TUA00438,562.77,1134.94
678,TUA00439,967.34,3083.06
679,TUS00005,699.77,2496.63
680,TU5/16X203V,965.61,960.39
681,BO00061,539.86,8730.14
682,TUE00363,752.71,2273.89
683,CS14D2017B20,333.2,2104.39
684,BB1 1/2X1/2-300W,253.0,132.0
685,BO00064,14.4,1295.6
686,BO00062,432.37,4612.63
687,CBS00098,1443.18,5716.02
688,TP0011,135.69,374.31
689,ECQ-00972,7105.79,22400.21
690,ECQ-00974,2930.59,4529.41
691,TP0025,92.33,152.67
692,TUA00446,227.74,1182.26
693,CAS00068,131.25,1526.69
694,CAS00069,1309.94,788.66
695,CAS00070,47.53,1216.15
696,CAS00071,135.37,1465.01
697,TP0002,314.09,590.91
698,TP0003,387.87,737.13
699,TUA00124,668.43,904.02
700,PK51H1JBA600,3340.17,3059.83
701,TEE00028,2289.82,4148.18
702,TUS00123,1542.56,4433.44
703,CAS00081,395.26,719.74
704,TP0024,48.49,143.51
705,TP0012,109.6,510.4
706,BN00258,172.35,1333.73
707,TUA00447,3776.75,5523.25
708,TUA00448,3574.62,5425.38
709,TUE00362,48.03,516.07
710,TP0009,205.2,315.84
711,TP0011,542.76,1397.24
712,TP0012,219.2,1020.8
713,TP0003,232.72,232.28
714,CM10G1030A00,311.18,1847.22
715,TUA00457,493.38,2266.62
716,TP0025,1383.54,3578.46
717,BP00246,85.29,604.71
718,BP00247,310.77,1678.51
719,BP00263,160.18,1050.62
720,TUA00413,177.85,557.8
721,TU5/16X203V240W,662.65,554.85
722,EE00059,1170.9,6929.1
723,BO00063,3192.33,-38.41
724,RB00021,670.74,2147.66
725,CS14D2017B20,111.07,701.36
726,TUA00453,1416.34,4763.66
727,CS14E1012A00,128.97,1702.31
728,TEA00103,174.08,2765.92
729,TUA00009,2145.86,2226.14
730,PT00057,1441.92,2308.08
731,CAE00011,367.04,757.96
732,TT00009,2360.31,5602.19
733,TT00010,2378.73,6126.27
734,P9K1J1D1G030,153.36,1116.64
735,TU5/16X870J127V,227.18,475.41
736,P214J1BBA600,521.59,743.41
737,BN00260,348.32,1001.68
738,BN00261,183.26,1208.74
739,CS38C1008A00,556.96,3840.62
740,TJ00029,1029.98,3230.02
741,TUA00099,3820.84,6226.16
742,TUA00191,2608.29,2721.71
